nohup: ignoring input
QCY: cuda is available
YQC: you will use sumo~
building world...
Connection ID debug
QCY: agent: Maxpressure Agent has no Network model
QCY: num_agent:  49
QCY: model_mapping setting name:  maxpressure
QCY: task_mapping:  {'base': <class 'task.task.BaseTask'>, 'tsc': <class 'task.task.TSCTask'>}
QCY: GPU: 0
QCY: model_mapping setting train_model:  False
QCY: model_mapping setting test_model:  True
QCY: testing step1190   2023-07-05 09:19:14.737404
QCY: testing step1200   2023-07-05 09:19:15.234523
QCY: testing step1210   2023-07-05 09:19:15.799689
QCY: testing step1220   2023-07-05 09:19:16.307956
QCY: testing step1230   2023-07-05 09:19:16.820677
QCY: testing step1240   2023-07-05 09:19:17.336492
QCY: testing step1250   2023-07-05 09:19:17.862001
QCY: testing step1260   2023-07-05 09:19:18.393799
QCY: testing step1270   2023-07-05 09:19:18.937219
QCY: testing step1280   2023-07-05 09:19:19.478741
QCY: testing step1290   2023-07-05 09:19:20.025109
QCY: testing step1300   2023-07-05 09:19:20.581986
QCY: testing step1310   2023-07-05 09:19:21.126808
QCY: testing step1320   2023-07-05 09:19:21.673219
QCY: testing step1330   2023-07-05 09:19:22.218804
QCY: testing step1340   2023-07-05 09:19:22.770000
QCY: testing step1350   2023-07-05 09:19:23.320652
QCY: testing step1360   2023-07-05 09:19:23.872334
QCY: testing step1370   2023-07-05 09:19:24.427407
QCY: testing step1380   2023-07-05 09:19:24.980508
QCY: testing step1390   2023-07-05 09:19:25.537415
QCY: testing step1400   2023-07-05 09:19:26.103377
QCY: testing step1410   2023-07-05 09:19:26.733844
QCY: testing step1420   2023-07-05 09:19:27.313476
QCY: testing step1430   2023-07-05 09:19:27.893038
QCY: testing step1440   2023-07-05 09:19:28.473004
QCY: testing step1450   2023-07-05 09:19:29.059917
QCY: testing step1460   2023-07-05 09:19:29.654812
QCY: testing step1470   2023-07-05 09:19:30.257415
QCY: testing step1480   2023-07-05 09:19:30.866329
QCY: testing step1490   2023-07-05 09:19:31.476380
QCY: testing step1500   2023-07-05 09:19:32.086934
QCY: testing step1510   2023-07-05 09:19:32.703302
QCY: testing step1520   2023-07-05 09:19:33.338116
QCY: testing step1530   2023-07-05 09:19:33.964888
QCY: testing step1540   2023-07-05 09:19:34.580338
QCY: testing step1550   2023-07-05 09:19:35.273394
