nohup: ignoring input
QCY: cuda is not available
YQC: you will use sumo~
building world...
intersection intersection_3_3 malfunction~~~
intersection intersection_3_6 malfunction~~~
intersection intersection_5_3 malfunction~~~
intersection intersection_5_6 malfunction~~~
Connection ID debug
QCY: agent: FixedTime Agent has no Network model
QCY: num_agent:  49
QCY: model_mapping setting name:  fixedtime
intersection intersection_3_3 malfunction~~~
intersection intersection_3_6 malfunction~~~
intersection intersection_5_3 malfunction~~~
intersection intersection_5_6 malfunction~~~
QCY: task_mapping:  {'base': <class 'task.task.BaseTask'>, 'tsc': <class 'task.task.TSCTask'>}
QCY: GPU: -1
QCY: model_mapping setting train_model:  False
QCY: model_mapping setting test_model:  True
intersection intersection_3_3 malfunction~~~
intersection intersection_3_6 malfunction~~~
intersection intersection_5_3 malfunction~~~
intersection intersection_5_6 malfunction~~~
QCY: testing step1100   2023-07-13 22:53:04.345905
QCY: testing step1110   2023-07-13 22:53:05.165560
QCY: testing step1120   2023-07-13 22:53:05.998246
QCY: testing step1130   2023-07-13 22:53:06.823218
QCY: testing step1140   2023-07-13 22:53:07.675160
QCY: testing step1150   2023-07-13 22:53:08.519418
QCY: testing step1160   2023-07-13 22:53:09.357323
QCY: testing step1170   2023-07-13 22:53:10.215064
QCY: testing step1180   2023-07-13 22:53:11.078498
QCY: testing step1190   2023-07-13 22:53:11.942265
QCY: testing step1200   2023-07-13 22:53:12.796566
QCY: testing step1210   2023-07-13 22:53:13.766121
QCY: testing step1220   2023-07-13 22:53:14.643085
QCY: testing step1230   2023-07-13 22:53:15.504849
QCY: testing step1240   2023-07-13 22:53:16.367919
QCY: testing step1250   2023-07-13 22:53:17.227632
QCY: testing step1260   2023-07-13 22:53:18.089261
QCY: testing step1270   2023-07-13 22:53:18.969451
QCY: testing step1280   2023-07-13 22:53:19.878865
QCY: testing step1290   2023-07-13 22:53:20.778449
QCY: testing step1300   2023-07-13 22:53:21.688497
QCY: testing step1310   2023-07-13 22:53:22.617891
QCY: testing step1320   2023-07-13 22:53:23.560745
QCY: testing step1330   2023-07-13 22:53:24.491062
QCY: testing step1340   2023-07-13 22:53:25.415776
QCY: testing step1350   2023-07-13 22:53:26.340545
QCY: testing step1360   2023-07-13 22:53:27.262549
QCY: testing step1370   2023-07-13 22:53:28.192757
QCY: testing step1380   2023-07-13 22:53:29.134382
QCY: testing step1390   2023-07-13 22:53:30.090948
QCY: testing step1400   2023-07-13 22:53:31.050053
QCY: testing step1410   2023-07-13 22:53:32.057865
QCY: testing step1420   2023-07-13 22:53:33.047523
QCY: testing step1430   2023-07-13 22:53:34.000392
QCY: testing step1440   2023-07-13 22:53:34.984349
QCY: testing step1450   2023-07-13 22:53:35.947697
QCY: testing step1460   2023-07-13 22:53:36.960016
QCY: testing step1470   2023-07-13 22:53:37.924571
QCY: testing step1480   2023-07-13 22:53:38.914035
QCY: testing step1490   2023-07-13 22:53:39.925046
QCY: testing step1500   2023-07-13 22:53:40.908795
QCY: testing step1510   2023-07-13 22:53:41.916858
QCY: testing step1520   2023-07-13 22:53:42.900841
QCY: testing step1530   2023-07-13 22:53:43.930986
QCY: testing step1540   2023-07-13 22:53:44.956769
QCY: testing step1550   2023-07-13 22:53:46.008619
QCY: testing step1560   2023-07-13 22:53:47.093518
QCY: testing step1570   2023-07-13 22:53:48.131035
QCY: testing step1580   2023-07-13 22:53:49.195337
QCY: testing step1590   2023-07-13 22:53:50.229267
QCY: testing step1600   2023-07-13 22:53:51.259135
QCY: testing step1610   2023-07-13 22:53:52.357748
QCY: testing step1620   2023-07-13 22:53:53.412785
QCY: testing step1630   2023-07-13 22:53:54.447160
QCY: testing step1640   2023-07-13 22:53:55.495158
QCY: testing step1650   2023-07-13 22:53:56.567575
QCY: testing step1660   2023-07-13 22:53:57.798874
QCY: testing step1670   2023-07-13 22:53:58.938641
QCY: testing step1680   2023-07-13 22:53:59.990269
QCY: testing step1690   2023-07-13 22:54:01.080512
QCY: testing step1700   2023-07-13 22:54:02.200662
QCY: testing step1710   2023-07-13 22:54:03.281544
QCY: testing step1720   2023-07-13 22:54:04.387849
QCY: testing step1730   2023-07-13 22:54:05.487183
QCY: testing step1740   2023-07-13 22:54:06.575583
QCY: testing step1750   2023-07-13 22:54:07.709376
QCY: testing step1760   2023-07-13 22:54:08.890136
QCY: testing step1770   2023-07-13 22:54:10.032839
QCY: testing step1780   2023-07-13 22:54:11.227717
QCY: testing step1790   2023-07-13 22:54:12.427997
QCY: testing step1800   2023-07-13 22:54:13.574857
QCY: testing step1810   2023-07-13 22:54:14.791344
QCY: testing step1820   2023-07-13 22:54:15.988138
QCY: testing step1830   2023-07-13 22:54:17.172008
QCY: testing step1840   2023-07-13 22:54:18.387027
QCY: testing step1850   2023-07-13 22:54:19.591864
QCY: testing step1860   2023-07-13 22:54:20.795723
QCY: testing step1870   2023-07-13 22:54:22.094208
QCY: testing step1880   2023-07-13 22:54:23.294861
QCY: testing step1890   2023-07-13 22:54:24.493226
QCY: testing step1900   2023-07-13 22:54:25.695584
QCY: testing step1910   2023-07-13 22:54:26.938484
QCY: testing step1920   2023-07-13 22:54:28.187125
QCY: testing step1930   2023-07-13 22:54:29.486317
QCY: testing step1940   2023-07-13 22:54:30.706277
QCY: testing step1950   2023-07-13 22:54:31.916783
QCY: testing step1960   2023-07-13 22:54:33.168486
QCY: testing step1970   2023-07-13 22:54:34.438915
QCY: testing step1980   2023-07-13 22:54:35.718500
QCY: testing step1990   2023-07-13 22:54:36.994844
QCY: testing step2000   2023-07-13 22:54:38.349230
QCY: testing step2010   2023-07-13 22:54:39.821012
