nohup: ignoring input
QCY: cuda is not available
YQC: you will use sumo~
building world...
Connection ID debug
QCY: agent: Maxpressure Agent has no Network model
QCY: num_agent:  49
QCY: model_mapping setting name:  maxpressure
QCY: task_mapping:  {'base': <class 'task.task.BaseTask'>, 'tsc': <class 'task.task.TSCTask'>}
QCY: GPU: -1
QCY: model_mapping setting train_model:  False
QCY: model_mapping setting test_model:  True
QCY: testing step1190   2023-07-19 10:34:05.687206
QCY: testing step1200   2023-07-19 10:34:06.768561
QCY: testing step1210   2023-07-19 10:34:07.847853
QCY: testing step1220   2023-07-19 10:34:08.873045
QCY: testing step1230   2023-07-19 10:34:09.913003
QCY: testing step1240   2023-07-19 10:34:11.033024
QCY: testing step1250   2023-07-19 10:34:12.128605
QCY: testing step1260   2023-07-19 10:34:13.202488
QCY: testing step1270   2023-07-19 10:34:14.293882
QCY: testing step1280   2023-07-19 10:34:15.380657
QCY: testing step1290   2023-07-19 10:34:16.476822
QCY: testing step1300   2023-07-19 10:34:17.574313
QCY: testing step1310   2023-07-19 10:34:18.662870
QCY: testing step1320   2023-07-19 10:34:19.775890
QCY: testing step1330   2023-07-19 10:34:21.019226
QCY: testing step1340   2023-07-19 10:34:22.226040
QCY: testing step1350   2023-07-19 10:34:23.422523
QCY: testing step1360   2023-07-19 10:34:24.613302
QCY: testing step1370   2023-07-19 10:34:25.879167
QCY: testing step1380   2023-07-19 10:34:27.063367
QCY: testing step1390   2023-07-19 10:34:28.269083
QCY: testing step1400   2023-07-19 10:34:29.537986
QCY: testing step1410   2023-07-19 10:34:30.912347
QCY: testing step1420   2023-07-19 10:34:32.244195
QCY: testing step1430   2023-07-19 10:34:33.581553
QCY: testing step1440   2023-07-19 10:34:34.930349
QCY: testing step1450   2023-07-19 10:34:36.292138
QCY: testing step1460   2023-07-19 10:34:37.650209
QCY: testing step1470   2023-07-19 10:34:39.043963
QCY: testing step1480   2023-07-19 10:34:40.327039
QCY: testing step1490   2023-07-19 10:34:41.606334
QCY: testing step1500   2023-07-19 10:34:42.900752
QCY: testing step1510   2023-07-19 10:34:44.169671
QCY: testing step1520   2023-07-19 10:34:45.458985
QCY: testing step1530   2023-07-19 10:34:46.726009
QCY: testing step1540   2023-07-19 10:34:48.013173
QCY: testing step1550   2023-07-19 10:34:49.266386
QCY: testing step1560   2023-07-19 10:34:50.536543
QCY: testing step1570   2023-07-19 10:34:51.833055
QCY: testing step1580   2023-07-19 10:34:53.110337
QCY: testing step1590   2023-07-19 10:34:54.379248
QCY: testing step1600   2023-07-19 10:34:55.672782
QCY: testing step1610   2023-07-19 10:34:57.020881
QCY: testing step1620   2023-07-19 10:34:58.366724
QCY: testing step1630   2023-07-19 10:34:59.687477
QCY: testing step1640   2023-07-19 10:35:00.985088
QCY: testing step1650   2023-07-19 10:35:02.416427
QCY: testing step1660   2023-07-19 10:35:03.808518
QCY: testing step1670   2023-07-19 10:35:05.200556
QCY: testing step1680   2023-07-19 10:35:06.617410
QCY: testing step1690   2023-07-19 10:35:07.984748
QCY: testing step1700   2023-07-19 10:35:09.384125
QCY: testing step1710   2023-07-19 10:35:10.862890
QCY: testing step1720   2023-07-19 10:35:12.274848
QCY: testing step1730   2023-07-19 10:35:13.674846
QCY: testing step1740   2023-07-19 10:35:15.130604
QCY: testing step1750   2023-07-19 10:35:16.634895
QCY: testing step1760   2023-07-19 10:35:18.176414
QCY: testing step1770   2023-07-19 10:35:19.614079
QCY: testing step1780   2023-07-19 10:35:21.063477
QCY: testing step1790   2023-07-19 10:35:22.558851
QCY: testing step1800   2023-07-19 10:35:24.077667
QCY: testing step1810   2023-07-19 10:35:25.639841
QCY: testing step1820   2023-07-19 10:35:27.162663
QCY: testing step1830   2023-07-19 10:35:28.705361
QCY: testing step1840   2023-07-19 10:35:30.246218
QCY: testing step1850   2023-07-19 10:35:31.800246
QCY: testing step1860   2023-07-19 10:35:33.375937
QCY: testing step1870   2023-07-19 10:35:34.981638
QCY: testing step1880   2023-07-19 10:35:36.629284
QCY: testing step1890   2023-07-19 10:35:38.233408
QCY: testing step1900   2023-07-19 10:35:39.810989
QCY: testing step1910   2023-07-19 10:35:41.405485
QCY: testing step1920   2023-07-19 10:35:42.963941
QCY: testing step1930   2023-07-19 10:35:44.564175
QCY: testing step1940   2023-07-19 10:35:46.139952
QCY: testing step1950   2023-07-19 10:35:47.720876
QCY: testing step1960   2023-07-19 10:35:49.301036
QCY: testing step1970   2023-07-19 10:35:50.910691
QCY: testing step1980   2023-07-19 10:35:52.495467
QCY: testing step1990   2023-07-19 10:35:54.112422
QCY: testing step2000   2023-07-19 10:35:55.705897
QCY: testing step2010   2023-07-19 10:35:57.342097
QCY: testing step2020   2023-07-19 10:35:58.931837
QCY: testing step2030   2023-07-19 10:36:00.534168
QCY: testing step2040   2023-07-19 10:36:02.143040
