nohup: ignoring input
QCY: cuda is available
YQC: you will use sumo~
building world...
Connection ID debug
QCY: agent: Maxpressure Agent has no Network model
QCY: num_agent:  49
QCY: model_mapping setting name:  maxpressure
QCY: task_mapping:  {'base': <class 'task.task.BaseTask'>, 'tsc': <class 'task.task.TSCTask'>}
QCY: GPU: 0
QCY: model_mapping setting train_model:  False
QCY: model_mapping setting test_model:  True
QCY: testing step1190   2023-07-02 23:43:21.887490
QCY: testing step1200   2023-07-02 23:43:22.374040
QCY: testing step1210   2023-07-02 23:43:22.969712
QCY: testing step1220   2023-07-02 23:43:23.472169
QCY: testing step1230   2023-07-02 23:43:23.946121
QCY: testing step1240   2023-07-02 23:43:24.416079
QCY: testing step1250   2023-07-02 23:43:24.880574
QCY: testing step1260   2023-07-02 23:43:25.450999
QCY: testing step1270   2023-07-02 23:43:25.938465
QCY: testing step1280   2023-07-02 23:43:26.429488
QCY: testing step1290   2023-07-02 23:43:26.919786
QCY: testing step1300   2023-07-02 23:43:27.415211
QCY: testing step1310   2023-07-02 23:43:27.916243
QCY: testing step1320   2023-07-02 23:43:28.409487
QCY: testing step1330   2023-07-02 23:43:28.904355
QCY: testing step1340   2023-07-02 23:43:29.401385
QCY: testing step1350   2023-07-02 23:43:29.899493
QCY: testing step1360   2023-07-02 23:43:30.399720
QCY: testing step1370   2023-07-02 23:43:30.899992
QCY: testing step1380   2023-07-02 23:43:31.399981
QCY: testing step1390   2023-07-02 23:43:31.907129
QCY: testing step1400   2023-07-02 23:43:32.417005
QCY: testing step1410   2023-07-02 23:43:33.039547
QCY: testing step1420   2023-07-02 23:43:33.569757
QCY: testing step1430   2023-07-02 23:43:34.101236
QCY: testing step1440   2023-07-02 23:43:34.629665
QCY: testing step1450   2023-07-02 23:43:35.250738
QCY: testing step1460   2023-07-02 23:43:35.792492
QCY: testing step1470   2023-07-02 23:43:36.342345
QCY: testing step1480   2023-07-02 23:43:36.887719
QCY: testing step1490   2023-07-02 23:43:37.436990
QCY: testing step1500   2023-07-02 23:43:37.993649
QCY: testing step1510   2023-07-02 23:43:38.564204
QCY: testing step1520   2023-07-02 23:43:39.133499
QCY: testing step1530   2023-07-02 23:43:39.706139
QCY: testing step1540   2023-07-02 23:43:40.267872
QCY: testing step1550   2023-07-02 23:43:40.810194
QCY: testing step1560   2023-07-02 23:43:41.359133
QCY: testing step1570   2023-07-02 23:43:41.912617
QCY: testing step1580   2023-07-02 23:43:42.486889
QCY: testing step1590   2023-07-02 23:43:43.052820
QCY: testing step1600   2023-07-02 23:43:43.629744
QCY: testing step1610   2023-07-02 23:43:44.297265
QCY: testing step1620   2023-07-02 23:43:44.866137
QCY: testing step1630   2023-07-02 23:43:45.440177
QCY: testing step1640   2023-07-02 23:43:46.007659
QCY: testing step1650   2023-07-02 23:43:46.575482
QCY: testing step1660   2023-07-02 23:43:47.141807
QCY: testing step1670   2023-07-02 23:43:47.708159
QCY: testing step1680   2023-07-02 23:43:48.277460
QCY: testing step1690   2023-07-02 23:43:48.846840
QCY: testing step1700   2023-07-02 23:43:49.417534
QCY: testing step1710   2023-07-02 23:43:49.991292
QCY: testing step1720   2023-07-02 23:43:50.564807
